x,y,z
0.8564000129699707,-0.06779998540878296,-0.36559998989105225
0.8555999994277954,-0.0690000057220459,-0.3646000027656555
0.8519999980926514,-0.07020002603530884,-0.36419999599456787
0.8525999784469604,-0.0690000057220459,-0.36400002241134644
0.8525999784469604,-0.06980001926422119,-0.3654000163078308
0.8525999784469604,-0.0690000057220459,-0.3646000027656555
0.8519999980926514,-0.06940001249313354,-0.36619997024536133
0.8514000177383423,-0.06699997186660767,-0.366599977016449
0.8533999919891357,-0.0681999921798706,-0.36820000410079956
0.854200005531311,-0.06940001249313354,-0.36720001697540283
0.8552000522613525,-0.06940001249313354,-0.3596000075340271
0.8538000583648682,-0.06800001859664917,-0.3644000291824341
0.8552000522613525,-0.07039999961853027,-0.3669999837875366
